Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
2024,"111,700",944,"3,073","6,167","33,090","26,930","41,490",N,,,,,,,,
2023,"110,900",954,"3,059","6,083","33,080","26,780","40,980",N,,,,,,,,
2022,"109,979","1,151","2,890","6,303","33,081","26,701","39,853",N,,,,,,,,
2021,"108,327","1,084","2,924","6,274","31,855","26,595","39,595",N,,,,,,,,
2020,"107,517","1,053","2,854","6,250","31,355","26,580","39,426",N,,,,,,,,
2019,"106,695","1,082","3,230","6,792","31,257","26,527","37,807",N,,,,,,,,
2018,"105,862",973,"3,284","6,939","31,325","26,668","36,674",N,,,,,,,,
2017,"104,324","1,090","3,312","6,934","31,296","26,581","35,112",N,,,,,,,,
2016,"103,372","1,183","3,513","7,144","30,780","26,468","34,283",N,,,,,,,,
2015,"101,887","1,243","3,669","7,278","30,997","25,778","32,923",N,,,,,,,,
2014,"100,592","1,184","3,761","7,403","30,718","25,430","32,095",N,,,,,,,,
2013,"99,305","1,127","3,836","7,314","30,014","25,283","31,731",N,,,,,,,,
2012,"98,119","1,237","3,879","7,388","30,216","24,632","30,766",N,,,,,,,,
2011,"97,220","1,234","3,883","7,443","30,370","24,319","29,971",N,,,,,,,,
2010,"96,325","1,279","3,931","7,705","30,682","23,570","29,158",N,,,,,,,,
2009,"95,518","1,372","4,027","7,754","30,025","23,634","28,706",N,,,,,,,,
2008,"94,470","1,310","4,136","7,853","29,491","23,247","28,433",N,,,,,,,,
2007,"93,421","1,458","4,249","8,294","29,604","22,219","27,596",N,,,,,,,,
2006,"92,233","1,472","4,395","7,940","29,380","22,136","26,910",N,,,,,,,,
2005,"90,899","1,505","4,402","7,787","29,151","21,794","26,259",N,,,,,,,,
2004,"89,558","1,496","4,308","7,766","27,889","21,763","26,336",N,,,,,,,,
2003,"88,597","1,482","4,566","8,026","27,356","21,568","25,598",N,,,,,,,,
2002,"86,996","1,457","4,743","7,894","26,947","21,127","24,828",N,,,,,,,,
2001,"86,096","1,419","4,673","7,615","26,956","21,120","24,313",N,,,,,,,,
2000,"83,611","1,341","4,577","7,298","26,651","20,493","23,252",N,,,,,,,,
1999,"82,917","1,339","4,651","7,736","26,368","20,043","22,782",N,,,,,,,,
1998,"82,376","1,431","4,727","8,017","26,575","19,792","21,832",N,,,,,,,,
1997,"81,620","1,454","5,023","8,212","26,226","19,332","21,374",N,,,,,,,,
1996,"80,339","1,537","5,067","7,930","25,649","19,301","20,854",N,,,,,,,,
1995,"79,463","1,598","5,231","7,691","25,378","18,933","20,631",N,,,,,,,,
1994,"78,539","1,669","5,427","7,789","25,404","18,544","19,705",N,,,,,,,,
1993,"77,644","1,709","5,594","7,821","25,766","17,521","19,234",N,,,,,,,,
1992,"76,579","1,737","5,726","8,085","25,774","16,631","18,627",N,,,,,,,,
1991,"75,487","2,018","6,299","7,887","27,189","13,720","18,373",12.8,,,,,,,,
1990,"74,421","2,004","6,557","8,000","26,426","13,271","18,164",12.8,,,,,,,,
1989,"73,225","1,956","6,659","8,076","25,897","12,725","17,913",12.8,,,,,,,,
1988,"71,911","1,852","6,849","8,247","25,638","12,057","17,268",12.7,,,,,,,,
1987,"70,677","1,794","7,259","7,909","24,998","12,062","16,654",12.7,,,,,,,,
1986,"69,503","1,978","7,446","7,872","24,260","11,856","16,091",12.7,,,,,,,,
1985,"67,756","1,947","7,629","7,783","23,552","11,164","15,682",12.7,,,,,,,,
1984,"66,350","1,945","7,688","7,837","22,990","10,678","15,211",12.7,,,,,,,,
1983,"65,004","2,103","7,750","7,867","22,048","10,310","14,926",12.7,,,,,,,,
1982,"63,764","2,074","7,987","7,960","21,749","10,020","13,974",12.6,,,,,,,,
1981,"62,509","2,141","8,322","8,084","21,019","9,734","13,208",12.6,,,,,,,,
1980,"61,389","2,212","8,627","8,046","20,080","9,593","12,832",12.6,,,,,,,,
1979,"58,986","2,190","8,785","7,636","19,250","9,100","12,025",12.6,,,,,,,,
1978,"57,922","2,230","9,195","7,821","18,620","8,657","11,398",12.5,,,,,,,,
1977,"56,917","2,296","9,330","7,969","18,290","8,104","10,926",12.5,,,,,,,,
1976,"55,902","2,371","9,463","7,923","18,048","7,699","10,397",12.5,,,,,,,,
1975,"55,036","2,568","9,760","7,985","17,769","7,274","9,679",12.4,,,,,,,,
1974,"54,167","2,637","10,186","7,966","17,488","6,756","9,135",12.4,,,,,,,,
1973,"53,067","2,598","10,488","8,120","17,011","6,376","8,473",12.3,,,,,,,,
1972,"52,351","2,634","10,854","8,413","16,424","5,972","8,055",12.3,,,,,,,,
1971,"52,357","2,933","11,703","8,264","16,008","5,798","7,653",12.2,,,,,,,,
1970,"51,784","3,031","11,925","8,355","15,571","5,580","7,321",12.2,,,,,,,,
1969,"51,031","3,095","12,182","8,398","15,177","5,263","6,917",12.1,,,,,,,,
1968,"50,510","3,261","12,407","8,564","14,613","4,945","6,721",12.1,,,,,,,,
1967,"49,756","3,417","12,736","8,463","14,015","4,755","6,372",12.0,,,,,,,,
1966,"49,410","3,614","12,992","8,611","13,672","4,342","6,180",11.8,,,,,,,,
1965,"49,242","3,774","13,308","8,529","13,334","4,370","5,923",11.7,,,,,,,,
1964,"48,975","3,959","13,467","8,537","12,902","4,394","5,714",11.5,,,,,,,,
1962,"48,283","4,213","13,927","8,399","11,932","4,315","5,497",11.1,,,,,,,,
1960,"47,997","4,522","15,562","8,988","10,175","4,127","4,626",10.3,,,,,,,,
1959,"47,041","4,257","14,039","8,326","10,870","3,801","4,765",10.7,,,,,,,,
1957,"46,208","4,610","14,634","8,003","10,230","3,347","4,359",10.3,,,,,,,,
1952,"42,368","4,396","14,876","7,048","8,760","3,164","3,480",9.7,,,,,,,,
1950,"42,627","5,074","15,852","6,974","7,511","2,888","3,008",9.0,,,,,,,,
1947,"40,483","4,615","16,086","6,535","7,353","2,625","2,478",8.9,,,,,,,,
1940,"37,463","5,550","17,639","5,333","4,507","1,824","2,021",8.6,,,,,,,,
"25 Years and Over, Female",,,,,,,,,,,,,,,,
2024,"118,100","1,181","2,845","5,436","30,920","30,290","47,400",N,,,,,,,,
2023,"116,700","1,068","2,958","5,404","31,030","29,940","46,340",N,,,,,,,,
2022,"116,296","1,052","2,843","5,695","31,383","29,958","45,365",N,,,,,,,,
2021,"116,253",989,"2,938","5,844","30,693","30,347","45,442",N,,,,,,,,
2020,"115,540","1,053","2,935","6,063","30,243","30,972","44,275",N,,,,,,,,
2019,"114,783","1,098","3,192","6,580","31,002","30,902","42,009",N,,,,,,,,
2018,"113,969","1,156","3,316","6,743","31,360","31,142","40,251",N,,,,,,,,
2017,"112,597","1,117","3,288","6,799","31,216","31,185","38,991",N,,,,,,,,
2016,"111,643","1,231","3,565","6,817","31,221","31,192","37,617",N,,,,,,,,
2015,"110,245","1,358","3,626","7,408","31,578","30,253","36,021",N,,,,,,,,
2014,"108,695","1,341","3,627","7,142","31,522","30,279","34,784",N,,,,,,,,
2013,"107,594","1,217","3,741","7,282","31,690","29,890","33,775",N,,,,,,,,
2012,"106,460","1,246","3,920","7,604","31,898","29,267","32,524",N,,,,,,,,
2011,"104,323","1,355","3,806","7,320","31,541","28,930","31,372",N,,,,,,,,
2010,"103,603","1,336","3,904","7,555","31,774","28,350","30,683",N,,,,,,,,
2009,"102,767","1,413","4,016","7,833","31,601","28,036","29,868",N,,,,,,,,
2008,"101,835","1,289","4,090","7,663","31,692","27,747","29,354",N,,,,,,,,
2007,"100,897","1,371","4,213","8,157","31,887","27,024","28,245",N,,,,,,,,
2006,"99,651","1,479","4,395","8,215","31,518","27,234","26,810",N,,,,,,,,
2005,"98,467","1,477","4,532","8,311","31,742","26,283","26,122",N,,,,,,,,
2004,"97,319","1,363","4,580","8,233","31,921","25,808","25,413",N,,,,,,,,
2003,"96,586","1,433","4,795","8,297","31,936","25,342","24,784",N,,,,,,,,
2002,"95,146","1,445","4,926","8,484","31,509","24,915","23,868",N,,,,,,,,
2001,"94,293","1,392","4,845","8,664","31,316","25,161","22,915",N,,,,,,,,
2000,"91,620","1,400","4,861","8,378","31,435","23,953","21,594",N,,,,,,,,
1999,"90,837","1,404","5,004","8,707","31,566","23,133","21,021",N,,,,,,,,
1998,"89,835","1,403","5,220","8,758","31,599","22,714","20,142",N,,,,,,,,
1997,"88,961","1,387","5,450","8,999","31,360","22,442","19,323",N,,,,,,,,
1996,"87,984","1,491","5,528","9,171","30,911","22,071","18,813",N,,,,,,,,
1995,"86,975","1,476","5,642","8,874","31,072","22,317","17,594",N,,,,,,,,
1994,"85,973","1,487","5,932","9,135","31,111","21,470","16,838",N,,,,,,,,
1993,"85,181","1,672","6,154","9,246","31,823","19,930","16,357",N,,,,,,,,
1992,"84,248","1,712","6,263","9,587","32,086","18,889","15,709",N,,,,,,,,
1991,"83,207","1,784","6,747","9,491","34,083","15,449","15,652",12.7,,,,,,,,
1990,"82,116","1,829","7,200","9,462","33,693","14,806","15,126",12.7,,,,,,,,
1989,"80,930","1,904","7,402","9,643","33,440","13,888","14,652",12.6,,,,,,,,
1988,"79,724","1,862","7,700","9,599","33,303","13,741","13,519",12.6,,,,,,,,
1987,"78,467","1,846","8,042","9,508","32,671","13,417","12,983",12.6,,,,,,,,
1986,"77,102","1,916","8,226","9,612","32,078","12,874","12,399",12.6,,,,,,,,
1985,"75,768","1,926","8,390","9,770","31,314","12,242","12,126",12.6,,,,,,,,
1984,"74,444","1,939","8,571","9,596","31,083","11,603","11,651",12.6,,,,,,,,
1983,"73,016","2,015","8,964","9,814","30,012","11,220","10,990",12.5,,,,,,,,
1982,"71,762","2,045","9,245","10,046","29,677","10,673","10,076",12.5,,,,,,,,
1981,"70,390","2,217","9,545","9,957","28,896","10,309","9,466",12.5,,,,,,,,
1980,"69,020","2,178","9,800","10,040","27,854","9,786","9,362",12.4,,,,,,,,
1979,"66,309","2,133","9,720","9,945","26,665","9,293","8,554",12.4,,,,,,,,
1978,"65,097","2,214","10,114","10,353","25,761","8,721","7,934",12.4,,,,,,,,
1977,"63,953","2,213","10,236","10,349","25,312","8,142","7,701",12.4,,,,,,,,
1976,"62,946","2,230","10,449","10,281","25,109","7,779","7,098",12.3,,,,,,,,
1975,"61,861","2,344","10,871","10,252","24,584","7,243","6,565",12.3,,,,,,,,
1974,"60,838","2,469","11,015","10,308","23,972","6,910","6,165",12.3,,,,,,,,
1973,"59,799","2,502","11,350","10,300","23,437","6,454","5,755",12.2,,,,,,,,
1972,"58,782","2,490","11,649","10,442","22,746","6,145","5,309",12.2,,,,,,,,
1971,"58,270","2,641","12,327","10,339","22,021","5,984","4,959",12.2,,,,,,,,
1970,"57,527","2,716","12,595","10,327","21,563","5,584","4,743",12.1,,,,,,,,
1969,"56,719","2,919","12,796","10,131","20,955","5,301","4,619",12.1,,,,,,,,
1968,"55,959","2,987","13,060","10,160","19,991","5,309","4,450",12.1,,,,,,,,
1967,"55,107","2,985","13,439","10,185","19,157","5,162","4,178",12.0,,,,,,,,
1966,"54,467","3,090","13,488","10,246","18,719","4,892","4,032",12.0,,,,,,,,
1965,"54,004","3,207","13,753","10,085","18,369","4,767","3,820",12.0,,,,,,,,
1964,"53,447","3,333","14,086","9,881","17,825","4,686","3,629",11.8,,,,,,,,
1962,"52,381","3,613","14,511","9,352","16,545","4,855","3,505",11.6,,,,,,,,
1960,"51,468","3,781","15,656","10,151","14,267","4,620","2,991",10.9,,,,,,,,
1959,"50,437","3,559","14,451","9,194","15,349","4,087","2,969",11.2,,,,,,,,
1957,"49,422","3,951","14,682","8,948","14,602","3,638","2,813",10.9,,,,,,,,
1952,"45,990","3,608","15,398","8,180","12,314","3,550","2,638",10.4,,,,,,,,
1950,"44,857","4,417","15,824","7,843","10,114","3,358","2,264",9.6,,,,,,,,
1947,"42,095","3,996","16,222","6,952","9,573","2,908","1,946",8.9,,,,,,,,
1940,"37,313","4,554","16,773","5,849","6,044","2,251","1,386",8.7,,,,,,,,
"25 to 34 Years, Both Sexes",,,,,,,,,,,,,,,,
2024,"44,880",151,536,"1,767","12,470","11,090","18,870",N,,,,,,,,
2023,"44,910",193,629,"1,733","12,170","11,200","18,990",N,,,,,,,,
2022,"44,583",133,598,"1,937","12,104","11,493","18,318",N,,,,,,,,
2021,"45,284",145,574,"2,133","11,932","12,002","18,497",N,,,,,,,,
